Username,Handle,Timestamp,Comments,Responding,Text,Reply,Retweet,Likes
Planet Rhino,@Planet_Rhino,2021-05-06T19:57:00.000Z,"""Rhino poaching is on the rise again in South Africa since the government loosened coronavirus restrictions, following a year-long lull due to the pandemic, wildlife parks say."" #RhinoPoaching #SouthAfrica","reuters.com
Rhino poachers are back after South Africa eases lockdown restrictions
Rhino poaching is on the rise again in South Africa since the government loosened coronavirus restrictions, following a year-long lull due to the pandemic, wildlife parks say.","""Rhino poaching is on the rise again in South Africa since the government loosened coronavirus restrictions, following a year-long lull due to the pandemic, wildlife parks say."" #RhinoPoaching #SouthAfricareuters.com
Rhino poachers are back after South Africa eases lockdown restrictions
Rhino poaching is on the rise again in South Africa since the government loosened coronavirus restrictions, following a year-long lull due to the pandemic, wildlife parks say.",1.0,10.0,20.0
Planet Rhino,@Planet_Rhino,2021-05-06T05:53:00.000Z,"""Conservationists recently dehorned the entire white rhino population of Spioenkop Nature Reserve in South Africa’s KwaZulu-Natal province to decrease poaching incidents."" #RhinoPoaching #SouthAfrica","news.mongabay.com
South African dehorning initiative aims for ‘zero poached’ white rhinos
The team works quickly. As soon as a rhino is safely sedated, they motor up a chainsaw and begin shearing off the animal’s signature horns. White flakes of keratin fly through the air like snow,...","""Conservationists recently dehorned the entire white rhino population of Spioenkop Nature Reserve in South Africa’s KwaZulu-Natal province to decrease poaching incidents."" #RhinoPoaching #SouthAfricanews.mongabay.com
South African dehorning initiative aims for ‘zero poached’ white rhinos
The team works quickly. As soon as a rhino is safely sedated, they motor up a chainsaw and begin shearing off the animal’s signature horns. White flakes of keratin fly through the air like snow,...",,,5.0
Dr Will Fowlds,@DrWillFowlds,2021-05-06T05:12:00.000Z,"'A PASTOR and a member of the Namibian Police, who were allegedly found in possession of a rhino horn, were last week granted bail in the amount of N$5 000 each when they appeared in the Ondangwa Magistrate's Court.' #WildlifeCrime #RhinoPoaching 
https://namibian.com.na/101332/read/Another-pastor-in-court-over-wildlife-crime…","2
2","'A PASTOR and a member of the Namibian Police, who were allegedly found in possession of a rhino horn, were last week granted bail in the amount of N$5 000 each when they appeared in the Ondangwa Magistrate's Court.' #WildlifeCrime #RhinoPoaching 
https://namibian.com.na/101332/read/Another-pastor-in-court-over-wildlife-crime…2
2",,2.0,2.0
Helping Rhinos,@HelpingRhinos,2021-05-06T05:06:00.000Z,RHINO: A reserve in South Africa's KwaZulu-Natal province have joined many other reserves across the country by dehorning their rhino population as part of efforts to reduce poaching. #RhinoPoaching #RhinoConservation,"news.mongabay.com
South African dehorning initiative aims for ‘zero poached’ white rhinos
The team works quickly. As soon as a rhino is safely sedated, they motor up a chainsaw and begin shearing off the animal’s signature horns. White flakes of keratin fly through the air like snow,...","RHINO: A reserve in South Africa's KwaZulu-Natal province have joined many other reserves across the country by dehorning their rhino population as part of efforts to reduce poaching. #RhinoPoaching #RhinoConservationnews.mongabay.com
South African dehorning initiative aims for ‘zero poached’ white rhinos
The team works quickly. As soon as a rhino is safely sedated, they motor up a chainsaw and begin shearing off the animal’s signature horns. White flakes of keratin fly through the air like snow,...",1.0,17.0,55.0
Helping Rhinos,@HelpingRhinos,2021-05-05T15:02:00.000Z,"RHINO: Following the easing of lockdown restrictions in South Africa, there has been a concerning report of an increase in rhino poachings in some parts of the country #RhinoPoaching #Lockdown","reuters.com
Rhino poachers are back after South Africa eases lockdown restrictions
Rhino poaching is on the rise again in South Africa since the government loosened coronavirus restrictions, following a year-long lull due to the pandemic, wildlife parks say.","RHINO: Following the easing of lockdown restrictions in South Africa, there has been a concerning report of an increase in rhino poachings in some parts of the country #RhinoPoaching #Lockdownreuters.com
Rhino poachers are back after South Africa eases lockdown restrictions
Rhino poaching is on the rise again in South Africa since the government loosened coronavirus restrictions, following a year-long lull due to the pandemic, wildlife parks say.",1.0,14.0,33.0
Helping Rhinos,@HelpingRhinos,2021-04-28T05:37:00.000Z,RHINO POACHING: Authorities in India's Kaziranga National Park have arrested three suspected rhino poachers #RhinoPoaching #India,"sentinelassam.com
One sharpshooter, three rhino poachers arrested in Nagaon - Sentinelassam
Jakhalabondha Police in Nagaon district arrested three hardcore rhino poachers and one sharpshooter from Nagaland in an operation carried out in the early hours on Monday.","RHINO POACHING: Authorities in India's Kaziranga National Park have arrested three suspected rhino poachers #RhinoPoaching #Indiasentinelassam.com
One sharpshooter, three rhino poachers arrested in Nagaon - Sentinelassam
Jakhalabondha Police in Nagaon district arrested three hardcore rhino poachers and one sharpshooter from Nagaland in an operation carried out in the early hours on Monday.",2.0,19.0,74.0
Dr Will Fowlds,@DrWillFowlds,2021-04-27T06:02:00.000Z,"'In yet another incident of rhino poaching at Assam’s Kaziranga National Park (KNP), poachers have killed a one-horned rhino and chopped off its horn at the park.' #RhinoPoaching #Assam","nenow.in
Assam: Poachers kill one-horned rhino in Kaziranga National Park
In yet another incident of rhino poaching at Assam’s Kaziranga National Park (KNP), poachers have killed a one-horned rhino and chopped off its horn at the park. Forest officials on Tuesday recovered...","'In yet another incident of rhino poaching at Assam’s Kaziranga National Park (KNP), poachers have killed a one-horned rhino and chopped off its horn at the park.' #RhinoPoaching #Assamnenow.in
Assam: Poachers kill one-horned rhino in Kaziranga National Park
In yet another incident of rhino poaching at Assam’s Kaziranga National Park (KNP), poachers have killed a one-horned rhino and chopped off its horn at the park. Forest officials on Tuesday recovered...",3.0,5.0,6.0
Helping Rhinos,@HelpingRhinos,2021-04-26T06:14:00.000Z,RHINO: SANParks have announced that three suspected rhino poachers have been arrested inside Kruger National Park #RhinoPoaching #Kruger,"jacarandafm.com
Three nabbed for rhino poaching in KNP
Three suspected rhino poachers have been nabbed in the Crocodile Bridge Section of the Kruger National Park (KNP).","RHINO: SANParks have announced that three suspected rhino poachers have been arrested inside Kruger National Park #RhinoPoaching #Krugerjacarandafm.com
Three nabbed for rhino poaching in KNP
Three suspected rhino poachers have been nabbed in the Crocodile Bridge Section of the Kruger National Park (KNP).",2.0,16.0,60.0
Planet Rhino,@Planet_Rhino,2021-04-24T14:34:00.000Z,"""Malongwa is a head ranger with Rhinos Without Borders, a project that moves vulnerable rhinos away from poaching hotspots in order to create additional breeding populations of the iconic animals"" #RhinoConservation #RhinoPoaching 
https://news.yahoo.com/ranger-protects-rhinos-poaching-africa-120000235.html…","1
2","""Malongwa is a head ranger with Rhinos Without Borders, a project that moves vulnerable rhinos away from poaching hotspots in order to create additional breeding populations of the iconic animals"" #RhinoConservation #RhinoPoaching 
https://news.yahoo.com/ranger-protects-rhinos-poaching-africa-120000235.html…1
2",,1.0,2.0
Dr Will Fowlds,@DrWillFowlds,2021-04-23T13:19:11.000Z,'Rangers detected spoor of three individuals early in the morning and made a follow up in pursuit of the suspected rhino poachers.' #RhinoPoaching #KrugerNationalPark,"defenceweb.co.za
SANParks records another successful anti-poaching operation in the KNP - defenceWeb
South African National Parks (SANParks) has announced another operation that led to the arrest of three suspected poachers on Wednesday 21 April in the Crocodile Bridge Section of the Kruger National...","'Rangers detected spoor of three individuals early in the morning and made a follow up in pursuit of the suspected rhino poachers.' #RhinoPoaching #KrugerNationalParkdefenceweb.co.za
SANParks records another successful anti-poaching operation in the KNP - defenceWeb
South African National Parks (SANParks) has announced another operation that led to the arrest of three suspected poachers on Wednesday 21 April in the Crocodile Bridge Section of the Kruger National...",3.0,13.0,44.0
Dr Will Fowlds,@DrWillFowlds,2021-04-23T10:08:00.000Z,'Jakhalabondha Police in Nagaon district arrested three hardcore rhino poachers and one sharpshooter from Nagaland in an operation carried out in the early hours on Monday.' #RhinoPoaching #India,"sentinelassam.com
One sharpshooter, three rhino poachers arrested in Nagaon - Sentinelassam
Jakhalabondha Police in Nagaon district arrested three hardcore rhino poachers and one sharpshooter from Nagaland in an operation carried out in the early hours on Monday.","'Jakhalabondha Police in Nagaon district arrested three hardcore rhino poachers and one sharpshooter from Nagaland in an operation carried out in the early hours on Monday.' #RhinoPoaching #Indiasentinelassam.com
One sharpshooter, three rhino poachers arrested in Nagaon - Sentinelassam
Jakhalabondha Police in Nagaon district arrested three hardcore rhino poachers and one sharpshooter from Nagaland in an operation carried out in the early hours on Monday.",,8.0,16.0
Planet Rhino,@Planet_Rhino,2021-04-23T06:43:24.000Z,"""In yet another incident of rhino poaching at Assam’s Kaziranga National Park (KNP), poachers have killed a one-horned rhino and chopped off its horn at the park."" #RhinoPoaching #KazirangaNationalPark","nenow.in
Assam: Poachers kill one-horned rhino in Kaziranga National Park
In yet another incident of rhino poaching at Assam’s Kaziranga National Park (KNP), poachers have killed a one-horned rhino and chopped off its horn at the park. Forest officials on Tuesday recovered...","""In yet another incident of rhino poaching at Assam’s Kaziranga National Park (KNP), poachers have killed a one-horned rhino and chopped off its horn at the park."" #RhinoPoaching #KazirangaNationalParknenow.in
Assam: Poachers kill one-horned rhino in Kaziranga National Park
In yet another incident of rhino poaching at Assam’s Kaziranga National Park (KNP), poachers have killed a one-horned rhino and chopped off its horn at the park. Forest officials on Tuesday recovered...",2.0,3.0,5.0
defenceWeb,@defenceWeb_Afr,2021-04-19T16:48:56.000Z,"The Kruger National Park conducted anti-poaching operations that led to the arrest of five poachers over the weekend. The suspects were found in possession of ammunition, a silencer and high calibre hunting rifles.
#BorderSecurity #RhinoPoaching","defenceweb.co.za
Five poachers caught and one fatally trampled by elephants in Kruger National Park - defenceWeb
The Kruger National Park (KNP) conducted anti-poaching operations that led to the arrest of five suspected poachers in the Pretoriuskop section of the park over the weekend. The suspects were found...","The Kruger National Park conducted anti-poaching operations that led to the arrest of five poachers over the weekend. The suspects were found in possession of ammunition, a silencer and high calibre hunting rifles.
#BorderSecurity #RhinoPoachingdefenceweb.co.za
Five poachers caught and one fatally trampled by elephants in Kruger National Park - defenceWeb
The Kruger National Park (KNP) conducted anti-poaching operations that led to the arrest of five suspected poachers in the Pretoriuskop section of the park over the weekend. The suspects were found...",1.0,3.0,7.0
Dr Will Fowlds,@DrWillFowlds,2021-04-19T11:38:00.000Z,"Great to see 
@STROOP_film
 still making waves around the globe  such an important film. Congratulations ladies  #RhinoConservation #RhinoPoaching #STROOP","Quote Tweet
STROOP - journey into the rhino horn war
@STROOP_film
·
Apr 19, 2021
‘STROOP - journey into the rhino horn war’ is officially selected for the EcoBrasilFest, the Environmental Film Festival in Brazil happening this week! STROOP has now screened on 6 of earth's 7 continents! 
Anyone know someone in Antarctica ","Great to see 
@STROOP_film
 still making waves around the globe  such an important film. Congratulations ladies  #RhinoConservation #RhinoPoaching #STROOPQuote Tweet
STROOP - journey into the rhino horn war
@STROOP_film
·
Apr 19, 2021
‘STROOP - journey into the rhino horn war’ is officially selected for the EcoBrasilFest, the Environmental Film Festival in Brazil happening this week! STROOP has now screened on 6 of earth's 7 continents! 
Anyone know someone in Antarctica ",,12.0,28.0
City's for Elephants & Rhinos,@CitysFElephants,2021-04-08T20:22:07.000Z,"Who buys bloody rhino horn on an Auction in Portugal?
 #Auction 
#MyHornisMyHorn 
#RhinoPoaching 
#StopBloodRhinoAuction
#OnlyARhinoNeedsItsHorn

https://twitter.com/WildAid_UK/status/1379872415472312324?s=19…","Quote Tweet
WildAid United Kingdom
@WildAid_UK
·
Apr 7, 2021
BREAKING NEWS! Portuguese auction house 'Leiloeira Corte Real' plans to auction off 5 #rhino horns on Friday.
If you think that's a bad idea please let them know: leiloes@leiloeiracortereal.pt","Who buys bloody rhino horn on an Auction in Portugal?
 #Auction 
#MyHornisMyHorn 
#RhinoPoaching 
#StopBloodRhinoAuction
#OnlyARhinoNeedsItsHorn

https://twitter.com/WildAid_UK/status/1379872415472312324?s=19…Quote Tweet
WildAid United Kingdom
@WildAid_UK
·
Apr 7, 2021
BREAKING NEWS! Portuguese auction house 'Leiloeira Corte Real' plans to auction off 5 #rhino horns on Friday.
If you think that's a bad idea please let them know: leiloes@leiloeiracortereal.pt",4.0,12.0,21.0
OPEN𓃰UNIVERSITY of ELEPHANTS,@OElephants,2021-04-08T19:09:49.000Z," #Auction 
#MyHornisMyHorn 
#RhinoPoaching 
#StopBloodRhinoAuction
#OnlyARhinoNeedsItsHorn","Quote Tweet
ANP|WWF
@WWF_Portugal
·
Apr 8, 2021
 ÚLTIMA HORA! A casa de leilões portuguesa 'Leiloeira Corte-Real' pretende leiloar 5 chifres de #rinoceronte amanhã!
Parece-te mal? DIZ-LHES! 
leiloes@leiloeiracortereal.pt
http://leiloeiracortereal.pt/web/leiloes-pr…
http://leiloeiracortereal.pt/web/leiloes-pr… (lotes 558-562)

#STOPBloodRhinoAuction"," #Auction 
#MyHornisMyHorn 
#RhinoPoaching 
#StopBloodRhinoAuction
#OnlyARhinoNeedsItsHornQuote Tweet
ANP|WWF
@WWF_Portugal
·
Apr 8, 2021
 ÚLTIMA HORA! A casa de leilões portuguesa 'Leiloeira Corte-Real' pretende leiloar 5 chifres de #rinoceronte amanhã!
Parece-te mal? DIZ-LHES! 
leiloes@leiloeiracortereal.pt
http://leiloeiracortereal.pt/web/leiloes-pr…
http://leiloeiracortereal.pt/web/leiloes-pr… (lotes 558-562)

#STOPBloodRhinoAuction",,1.0,
OPEN𓃰UNIVERSITY of ELEPHANTS,@OElephants,2021-04-08T19:08:01.000Z," #Auction 
#MyHornisMyHorn 
#RhinoPoaching 
#StopBloodRhinoAuction
#OnlyARhinoNeedsItsHorn","Quote Tweet
ChrisSand
@ChrisSand20
·
Apr 8, 2021
Replying to @WildAid_UK @NicABR and 9 others
 Can you prove that this is what is called a legal rhino horn?  @InvaluableLive
leiloes@leiloeiracortereal.pt
 How many rhinos had to die for your #Auction and profit?

#MyHornisMyHorn 
#RhinoPoaching 
#StopBloodRhinoAuction
#OnlyARhinoNeedsItsHorn"," #Auction 
#MyHornisMyHorn 
#RhinoPoaching 
#StopBloodRhinoAuction
#OnlyARhinoNeedsItsHornQuote Tweet
ChrisSand
@ChrisSand20
·
Apr 8, 2021
Replying to @WildAid_UK @NicABR and 9 others
 Can you prove that this is what is called a legal rhino horn?  @InvaluableLive
leiloes@leiloeiracortereal.pt
 How many rhinos had to die for your #Auction and profit?

#MyHornisMyHorn 
#RhinoPoaching 
#StopBloodRhinoAuction
#OnlyARhinoNeedsItsHorn",,2.0,1.0
OPEN𓃰UNIVERSITY of ELEPHANTS,@OElephants,2021-04-08T19:07:46.000Z," #Auction 
#MyHornisMyHorn 
#RhinoPoaching 
#StopBloodRhinoAuction
#OnlyARhinoNeedsItsHorn","Quote Tweet
WildAid United Kingdom
@WildAid_UK
·
Apr 7, 2021
BREAKING NEWS! Portuguese auction house 'Leiloeira Corte Real' plans to auction off 5 #rhino horns on Friday.
If you think that's a bad idea please let them know: leiloes@leiloeiracortereal.pt
https://leiloeiracortereal.pt/web/leiloes-presenciais/catalogo-do-proximo-leilao/560-chifre-de-rinoceronte-detail…
https://leiloeiracortereal.pt/web/leiloes-presenciais/catalogo-do-proximo-leilao?start=500… (lots 558-562)

#STOPBloodRhinoAuction"," #Auction 
#MyHornisMyHorn 
#RhinoPoaching 
#StopBloodRhinoAuction
#OnlyARhinoNeedsItsHornQuote Tweet
WildAid United Kingdom
@WildAid_UK
·
Apr 7, 2021
BREAKING NEWS! Portuguese auction house 'Leiloeira Corte Real' plans to auction off 5 #rhino horns on Friday.
If you think that's a bad idea please let them know: leiloes@leiloeiracortereal.pt
https://leiloeiracortereal.pt/web/leiloes-presenciais/catalogo-do-proximo-leilao/560-chifre-de-rinoceronte-detail…
https://leiloeiracortereal.pt/web/leiloes-presenciais/catalogo-do-proximo-leilao?start=500… (lots 558-562)

#STOPBloodRhinoAuction",,3.0,
City's for Elephants & Rhinos,@CitysFElephants,2021-04-08T19:04:20.000Z," #Auction 
#MyHornisMyHorn 
#RhinoPoaching 
#StopBloodRhinoAuction
#OnlyARhinoNeedsItsHorn","The following media includes potentially sensitive content. Change settings
View"," #Auction 
#MyHornisMyHorn 
#RhinoPoaching 
#StopBloodRhinoAuction
#OnlyARhinoNeedsItsHornThe following media includes potentially sensitive content. Change settings
View",1.0,7.0,12.0
Africa The land of my birth,@NomalungeloKing,2021-04-03T03:21:57.000Z,"#DavidMahlobo was involved in a high profile cases such as #humantrafficjing and #RhinoPoaching but the real criminal is still serving as a minister 
#DavidMahlobo must fall",,"#DavidMahlobo was involved in a high profile cases such as #humantrafficjing and #RhinoPoaching but the real criminal is still serving as a minister 
#DavidMahlobo must fall",,9.0,8.0
Planet Rhino,@Planet_Rhino,2021-03-31T06:36:00.000Z,"""The trio was apprehended around 02h15 after the police received a tipoff from
Otjiwarongo that the suspects were allegedly carrying prohibited contents."" #RhinoPoaching #Namibia","neweralive.na
Cop, pastor nabbed for possession of rhino horn
An Otjiwarongo-based police constable and a pastor of the Enlightened Christian Gathering Church were arrested on Friday in Omuthiya after they were found in possession of a rhino horn. ","""The trio was apprehended around 02h15 after the police received a tipoff from
Otjiwarongo that the suspects were allegedly carrying prohibited contents."" #RhinoPoaching #Namibianeweralive.na
Cop, pastor nabbed for possession of rhino horn
An Otjiwarongo-based police constable and a pastor of the Enlightened Christian Gathering Church were arrested on Friday in Omuthiya after they were found in possession of a rhino horn. ",,,3.0
Planet Rhino,@Planet_Rhino,2021-03-30T19:55:00.000Z,"""FORTY SANParks employees found guilty of being involved in rhino poaching have been dismissed, Forestry, Fisheries and Environment Minister Barbara Creecy has revealed."" #SANParks #RhinoPoaching #SouthAfrica 
https://iol.co.za/capetimes/news/40-sanparks-employees-sacked-over-rhino-poaching-c221032b-e900-41f9-ba9d-38a385c162be…",2,"""FORTY SANParks employees found guilty of being involved in rhino poaching have been dismissed, Forestry, Fisheries and Environment Minister Barbara Creecy has revealed."" #SANParks #RhinoPoaching #SouthAfrica 
https://iol.co.za/capetimes/news/40-sanparks-employees-sacked-over-rhino-poaching-c221032b-e900-41f9-ba9d-38a385c162be…2",,,2.0
Gavin Murray,@GavinKMurray,2021-03-30T18:20:29.000Z,"The fish stinks from the head... #rhinopoaching #conservation #wildlife 
@SANParks","Quote Tweet
Desiree_Laverne
@Desiree_Laverne
·
Mar 29, 2021
40 SANParks employees sacked over rhino poaching https://iol.co.za/capetimes/news/40-sanparks-employees-sacked-over-rhino-poaching-c221032b-e900-41f9-ba9d-38a385c162be…","The fish stinks from the head... #rhinopoaching #conservation #wildlife 
@SANParksQuote Tweet
Desiree_Laverne
@Desiree_Laverne
·
Mar 29, 2021
40 SANParks employees sacked over rhino poaching https://iol.co.za/capetimes/news/40-sanparks-employees-sacked-over-rhino-poaching-c221032b-e900-41f9-ba9d-38a385c162be…",,1.0,1.0
Dr Will Fowlds,@DrWillFowlds,2021-03-30T06:15:00.000Z,'An Otjiwarongo-based police constable and a pastor of the Enlightened Christian Gathering Church were arrested on Friday in Omuthiya after they were found in possession of a rhino horn.' #RhinoPoaching #Namibia,"neweralive.na
Cop, pastor nabbed for possession of rhino horn
An Otjiwarongo-based police constable and a pastor of the Enlightened Christian Gathering Church were arrested on Friday in Omuthiya after they were found in possession of a rhino horn. ","'An Otjiwarongo-based police constable and a pastor of the Enlightened Christian Gathering Church were arrested on Friday in Omuthiya after they were found in possession of a rhino horn.' #RhinoPoaching #Namibianeweralive.na
Cop, pastor nabbed for possession of rhino horn
An Otjiwarongo-based police constable and a pastor of the Enlightened Christian Gathering Church were arrested on Friday in Omuthiya after they were found in possession of a rhino horn. ",2.0,4.0,13.0
Helping Rhinos,@HelpingRhinos,2021-03-30T06:08:00.000Z,"RHINO: A policeman and a pastor have been arrested in Namibia after they were found in possession of a rhino horn #Namibia #RhinoPoaching 
https://neweralive.na/posts/cop-pastor-nabbed-for-possession-of-rhino-horn…","2
16
41","RHINO: A policeman and a pastor have been arrested in Namibia after they were found in possession of a rhino horn #Namibia #RhinoPoaching 
https://neweralive.na/posts/cop-pastor-nabbed-for-possession-of-rhino-horn…2
16
41",2.0,16.0,41.0
Dr Will Fowlds,@DrWillFowlds,2021-03-29T20:12:30.000Z,"'FORTY SANParks employees found guilty of being involved in rhino poaching have been dismissed, Forestry, Fisheries and Environment Minister Barbara Creecy has revealed.' #SANParks #RhinoPoaching 
https://iol.co.za/capetimes/news/40-sanparks-employees-sacked-over-rhino-poaching-c221032b-e900-41f9-ba9d-38a385c162be…","7
15
51","'FORTY SANParks employees found guilty of being involved in rhino poaching have been dismissed, Forestry, Fisheries and Environment Minister Barbara Creecy has revealed.' #SANParks #RhinoPoaching 
https://iol.co.za/capetimes/news/40-sanparks-employees-sacked-over-rhino-poaching-c221032b-e900-41f9-ba9d-38a385c162be…7
15
51",7.0,15.0,51.0
Helping Rhinos,@HelpingRhinos,2021-03-29T17:39:00.000Z,SANParks: The South African minister of Environment Barbara Creecy has revealed that 40 SANParks employees have been dismissed due to rhino poaching involvement #RhinoPoaching #SANParks,"iol.co.za
40 SANParks employees sacked over rhino poaching
FORTY SANParks employees found guilty of being involved in rhino poaching have been dismissed, Forestry, Fisheries and Environment Minister Barbara Creecy has revealed","SANParks: The South African minister of Environment Barbara Creecy has revealed that 40 SANParks employees have been dismissed due to rhino poaching involvement #RhinoPoaching #SANParksiol.co.za
40 SANParks employees sacked over rhino poaching
FORTY SANParks employees found guilty of being involved in rhino poaching have been dismissed, Forestry, Fisheries and Environment Minister Barbara Creecy has revealed",3.0,24.0,60.0
Planet Rhino,@Planet_Rhino,2021-03-29T17:00:27.000Z,"Two men accused of rhino poaching have been denied bail by a court in Limpopo, South Africa. They will remain in custody and are due to appear in court on Wednesday #RhinoPoaching #Limpopo","news24.com
Two denied bail in Limpopo court for alleged rhino poaching | News24
Two people were denied bail by the Namakgale Magistrate's Court in Limpopo following their arrest on rhino poaching charges at the weekend.","Two men accused of rhino poaching have been denied bail by a court in Limpopo, South Africa. They will remain in custody and are due to appear in court on Wednesday #RhinoPoaching #Limpoponews24.com
Two denied bail in Limpopo court for alleged rhino poaching | News24
Two people were denied bail by the Namakgale Magistrate's Court in Limpopo following their arrest on rhino poaching charges at the weekend.",1.0,4.0,14.0
HORNi,@HORNi_Rhino,2021-03-29T14:11:00.000Z,"Rangers in the Kruger National Park South Africa, have expressed concerns over the actions of the country's courts in rhino poaching cases #RhinoPoaching #KrugerNationalPark","iol.co.za
Kruger National Park rangers say courts not taking rhino poaching seriously
’Poachers never get convicted because of laxity within judiciary system’","Rangers in the Kruger National Park South Africa, have expressed concerns over the actions of the country's courts in rhino poaching cases #RhinoPoaching #KrugerNationalParkiol.co.za
Kruger National Park rangers say courts not taking rhino poaching seriously
’Poachers never get convicted because of laxity within judiciary system’",,5.0,15.0
Planet Rhino,@Planet_Rhino,2021-03-25T21:29:00.000Z,"""As anti-poaching costs soar, protecting rhinos has become a costly liability. Debates on what to do about it have become a war zone, and the biggest losers are the rhinos themselves."" #RhinoPoaching #SouthAfrica","dailymaverick.co.za
DM168 Our Burning Planet: The world’s last rhinos are in bad trouble – here’s why
Saving rhinos Part 1: The crisis. As anti-poaching costs soar, protecting rhinos has become a costly liability. Debates on what to do about it have become a war zone, and the biggest losers are the...","""As anti-poaching costs soar, protecting rhinos has become a costly liability. Debates on what to do about it have become a war zone, and the biggest losers are the rhinos themselves."" #RhinoPoaching #SouthAfricadailymaverick.co.za
DM168 Our Burning Planet: The world’s last rhinos are in bad trouble – here’s why
Saving rhinos Part 1: The crisis. As anti-poaching costs soar, protecting rhinos has become a costly liability. Debates on what to do about it have become a war zone, and the biggest losers are the...",,1.0,7.0
Helping Rhinos,@HelpingRhinos,2021-03-25T21:03:00.000Z,KRUGER: Rangers at South Africa's Kruger National Park have expressed concerns over the lack of poaching convictions & the huge delays on cases in the country's courts #RhinoPoaching #Kruger,"iol.co.za
Kruger National Park rangers say courts not taking rhino poaching seriously
’Poachers never get convicted because of laxity within judiciary system’","KRUGER: Rangers at South Africa's Kruger National Park have expressed concerns over the lack of poaching convictions & the huge delays on cases in the country's courts #RhinoPoaching #Krugeriol.co.za
Kruger National Park rangers say courts not taking rhino poaching seriously
’Poachers never get convicted because of laxity within judiciary system’",5.0,44.0,97.0
Dr Will Fowlds,@DrWillFowlds,2021-03-25T21:02:00.000Z,"'Kruger National Park section rangers have expressed concern at the courts taking too long to convict alleged rhino poachers arrested in the facility, despite evidence.' #RhinoPoaching #WildlifeCrime #Kruger","iol.co.za
Kruger National Park rangers say courts not taking rhino poaching seriously
’Poachers never get convicted because of laxity within judiciary system’","'Kruger National Park section rangers have expressed concern at the courts taking too long to convict alleged rhino poachers arrested in the facility, despite evidence.' #RhinoPoaching #WildlifeCrime #Krugeriol.co.za
Kruger National Park rangers say courts not taking rhino poaching seriously
’Poachers never get convicted because of laxity within judiciary system’",,9.0,7.0
Arrive Alive,@_ArriveAlive,2021-03-25T15:46:03.000Z,"Suspects arrested for rhino poaching after a vehicle search http://ow.ly/asTm50E8rfV #ArriveAlive #RhinoPoaching 
@SAPoliceService",2,"Suspects arrested for rhino poaching after a vehicle search http://ow.ly/asTm50E8rfV #ArriveAlive #RhinoPoaching 
@SAPoliceService2",,2.0,
SA Police Service,@SAPoliceService,2021-03-25T12:47:48.000Z,"#sapsLIM 2 suspects, Thabane Luka Manganyi & Adrian Maila aged 24 who are facing charges of illegal hunting are expected to appear in Gravellotte Periodical Court today after they were denied bail yesterday. #RhinoPoaching TM
http://saps.gov.za/newsroom/msspeechdetail.php?nid=31668…",,"#sapsLIM 2 suspects, Thabane Luka Manganyi & Adrian Maila aged 24 who are facing charges of illegal hunting are expected to appear in Gravellotte Periodical Court today after they were denied bail yesterday. #RhinoPoaching TM
http://saps.gov.za/newsroom/msspeechdetail.php?nid=31668…",2.0,3.0,10.0
The Boucher Legacy,@BoucherLegacy,2021-03-25T08:07:21.000Z,"[NEWS] World’s first wildlife conservation bond aimed at protecting black rhinoceros
BusinessLIVE
https://businesslive.co.za/bd/world/africa/2021-03-24-worlds-first-wildlife-conservation-bond-aimed-at-protecting-black-rhinoceros/…
#TheBoucherLegacy #rhinoawareness #rhinopoaching #stopthedemand #blackrhino","businesslive.co.za
World’s first wildlife conservation bond aimed at protecting black rhinoceros
Returns will be determined by the rate of growth of the populations of the animals in two SA reserves","[NEWS] World’s first wildlife conservation bond aimed at protecting black rhinoceros
BusinessLIVE
https://businesslive.co.za/bd/world/africa/2021-03-24-worlds-first-wildlife-conservation-bond-aimed-at-protecting-black-rhinoceros/…
#TheBoucherLegacy #rhinoawareness #rhinopoaching #stopthedemand #blackrhinobusinesslive.co.za
World’s first wildlife conservation bond aimed at protecting black rhinoceros
Returns will be determined by the rate of growth of the populations of the animals in two SA reserves",,1.0,1.0
Planet Rhino,@Planet_Rhino,2021-03-23T21:51:00.000Z,"""Caught between a rock and a hard place, rhinos have become a liability, their horns an Asian commodity. This could spell the beginning of the end for this ancient species in the wild."" #SouthAfrica #RhinoConservation #RhinoPoaching","dailymaverick.co.za
DM168 Our Burning Planet: The world’s last rhinos are in bad trouble – here’s why
Saving rhinos Part 1: The crisis. As anti-poaching costs soar, protecting rhinos has become a costly liability. Debates on what to do about it have become a war zone, and the biggest losers are the...","""Caught between a rock and a hard place, rhinos have become a liability, their horns an Asian commodity. This could spell the beginning of the end for this ancient species in the wild."" #SouthAfrica #RhinoConservation #RhinoPoachingdailymaverick.co.za
DM168 Our Burning Planet: The world’s last rhinos are in bad trouble – here’s why
Saving rhinos Part 1: The crisis. As anti-poaching costs soar, protecting rhinos has become a costly liability. Debates on what to do about it have become a war zone, and the biggest losers are the...",,4.0,7.0
Desiree_Laverne,@Desiree_Laverne,2021-03-23T13:13:24.000Z,"AND #COVIDー19....

#RhinoPoaching..
#Poaching
#WildlifeCrime",,"AND #COVIDー19....

#RhinoPoaching..
#Poaching
#WildlifeCrime",2.0,2.0,23.0
